size,method,step,task,source_layer,target_layer,target_token_offset,recall_k,correct,total,recall
L,baseline,352000,same_token,4,24,0,1,6172,16384,0.376708984375
L,baseline,352000,same_token,4,24,0,2,8737,16384,0.53326416015625
L,baseline,352000,same_token,4,24,0,4,12098,16384,0.7384033203125
L,baseline,352000,same_token,4,25,0,1,6240,16384,0.380859375
L,baseline,352000,same_token,4,25,0,2,8802,16384,0.5372314453125
L,baseline,352000,same_token,4,25,0,4,12088,16384,0.73779296875
L,baseline,352000,same_token,4,26,0,1,5390,16384,0.3289794921875
L,baseline,352000,same_token,4,26,0,2,8277,16384,0.50518798828125
L,baseline,352000,same_token,4,26,0,4,12042,16384,0.7349853515625
L,baseline,352000,same_token,4,27,0,1,5489,16384,0.33502197265625
L,baseline,352000,same_token,4,27,0,2,8333,16384,0.50860595703125
L,baseline,352000,same_token,4,27,0,4,12112,16384,0.7392578125
L,baseline,352000,same_token,5,6,0,1,10299,16384,0.62860107421875
L,baseline,352000,same_token,5,6,0,2,12210,16384,0.7452392578125
L,baseline,352000,same_token,5,6,0,4,14269,16384,0.87091064453125
L,baseline,352000,same_token,5,7,0,1,9248,16384,0.564453125
L,baseline,352000,same_token,5,7,0,2,11479,16384,0.70062255859375
L,baseline,352000,same_token,5,7,0,4,13877,16384,0.84698486328125
L,baseline,352000,same_token,5,8,0,1,9394,16384,0.5733642578125
L,baseline,352000,same_token,5,8,0,2,11565,16384,0.70587158203125
L,baseline,352000,same_token,5,8,0,4,13758,16384,0.8397216796875
L,baseline,352000,same_token,5,9,0,1,9485,16384,0.57891845703125
L,baseline,352000,same_token,5,9,0,2,11517,16384,0.70294189453125
L,baseline,352000,same_token,5,9,0,4,13725,16384,0.83770751953125
L,baseline,352000,same_token,5,10,0,1,9530,16384,0.5816650390625
L,baseline,352000,same_token,5,10,0,2,11769,16384,0.71832275390625
L,baseline,352000,same_token,5,10,0,4,14012,16384,0.855224609375
L,baseline,352000,same_token,5,11,0,1,8593,16384,0.52447509765625
L,baseline,352000,same_token,5,11,0,2,11067,16384,0.67547607421875
L,baseline,352000,same_token,5,11,0,4,13542,16384,0.8265380859375
L,baseline,352000,same_token,5,12,0,1,9534,16384,0.5819091796875
L,baseline,352000,same_token,5,12,0,2,11628,16384,0.709716796875
L,baseline,352000,same_token,5,12,0,4,13813,16384,0.84307861328125
