size,method,step,layer,expert,activation_count,activation_share
M,baseline,172000,7,5,14390,0.1097869873046875
M,baseline,172000,7,6,13796,0.105255126953125
M,baseline,172000,7,7,15089,0.11511993408203125
M,baseline,172000,8,0,15777,0.12036895751953125
M,baseline,172000,8,1,17871,0.13634490966796875
M,baseline,172000,8,2,12657,0.09656524658203125
M,baseline,172000,8,3,11475,0.08754730224609375
M,baseline,172000,8,4,14130,0.1078033447265625
M,baseline,172000,8,5,27379,0.20888519287109375
M,baseline,172000,8,6,11574,0.0883026123046875
M,baseline,172000,8,7,20209,0.15418243408203125
M,baseline,172000,9,0,13289,0.10138702392578125
M,baseline,172000,9,1,18840,0.14373779296875
M,baseline,172000,9,2,14174,0.1081390380859375
M,baseline,172000,9,3,16761,0.12787628173828125
M,baseline,172000,9,4,13730,0.1047515869140625
M,baseline,172000,9,5,20503,0.15642547607421875
M,baseline,172000,9,6,15162,0.1156768798828125
M,baseline,172000,9,7,18613,0.14200592041015625
M,baseline,172000,10,0,12088,0.09222412109375
M,baseline,172000,10,1,22706,0.1732330322265625
M,baseline,172000,10,2,18805,0.14347076416015625
M,baseline,172000,10,3,14665,0.11188507080078125
M,baseline,172000,10,4,15778,0.1203765869140625
M,baseline,172000,10,5,16497,0.12586212158203125
M,baseline,172000,10,6,17177,0.13105010986328125
M,baseline,172000,10,7,13356,0.101898193359375
M,baseline,172000,11,0,16082,0.1226959228515625
M,baseline,172000,11,1,22027,0.16805267333984375
M,baseline,172000,11,2,14017,0.10694122314453125
M,baseline,172000,11,3,17765,0.13553619384765625
M,baseline,172000,11,4,13537,0.10327911376953125
M,baseline,172000,11,5,16532,0.126129150390625
M,baseline,172000,11,6,13515,0.10311126708984375
M,baseline,172000,11,7,17597,0.13425445556640625
M,baseline,172000,12,0,11823,0.09020233154296875
M,baseline,172000,12,1,14199,0.10832977294921875
M,baseline,172000,12,2,23101,0.17624664306640625
M,baseline,172000,12,3,13931,0.10628509521484375
M,baseline,172000,12,4,19747,0.15065765380859375
M,baseline,172000,12,5,15952,0.1217041015625
M,baseline,172000,12,6,14804,0.112945556640625
M,baseline,172000,12,7,17515,0.13362884521484375
M,baseline,172000,13,0,14823,0.11309051513671875
M,baseline,172000,13,1,13588,0.103668212890625
M,baseline,172000,13,2,14926,0.1138763427734375
M,baseline,172000,13,3,14271,0.10887908935546875
M,baseline,172000,13,4,17189,0.13114166259765625
M,baseline,172000,13,5,16976,0.1295166015625
M,baseline,172000,13,6,21774,0.1661224365234375
M,baseline,172000,13,7,17525,0.13370513916015625
