variant,router_metric,seed,step,source_variant,cancel_active,slot_to_expert_NMI,per_slot_route_purity,max_load,load_entropy_norm,active_experts,target_accuracy,cross_entropy_loss,slot_component_variance_ratio,position_component_variance_ratio,residual_component_variance_ratio,alpha,cancel_until
R2P2_alpha_0.4,dot_product,20260526,0,original,0,1.0000000000001803,1.0,0.25,1.0000000027478353,4,0.0,3.7896714389324186,0.27730557322502136,0.6297672390937805,0.09292715042829514,0.4,
R2P2_alpha_0.4,dot_product,20260526,1,original,0,1.0000000000001803,1.0,0.25,1.0000000027478353,4,0.2,3.278512638807297,0.3228474259376526,0.5737650990486145,0.10338740795850754,0.4,
R2P2_alpha_0.4,dot_product,20260526,2,original,0,0.8417442805882993,0.9749999940395355,0.4749999940395355,0.8215993033201284,4,0.25,2.818075148202479,0.4043232202529907,0.48825156688690186,0.107425257563591,0.4,
R2P2_alpha_0.4,dot_product,20260526,5,original,0,0.7856854705501443,0.9500000029802322,0.44999998807907104,0.8318180824777693,4,1.0,1.3788857594132424,0.6307759284973145,0.2912812829017639,0.0779428780078888,0.4,
R2P2_alpha_0.4,dot_product,20260526,10,original,0,0.8340170934575095,0.9249999970197678,0.42500001192092896,0.9024600423109934,4,1.0,0.2764738709665835,0.7958018779754639,0.16189953684806824,0.04229848459362984,0.4,
R2P2_alpha_0.4,dot_product,20260526,20,original,0,1.0000000000001803,1.0,0.25,1.0000000027478353,4,1.0,0.019544470697292128,0.9416843056678772,0.04354248568415642,0.014773215167224407,0.4,
R2P2_alpha_0.4,dot_product,20260526,50,original,0,1.0000000000001803,1.0,0.25,1.0000000027478353,4,1.0,0.004400387307396158,0.9652512669563293,0.02718641608953476,0.007562332320958376,0.4,
R2P2_alpha_0.4,dot_product,20260526,1600,original,0,1.0000000000001803,1.0,0.25,1.0000000027478353,4,1.0,3.2159163492906376e-05,0.9812108874320984,0.013533835299313068,0.005255271214991808,0.4,
R2P2_alpha_0.4,dot_product,20260527,0,original,0,1.0000000000001803,1.0,0.25,1.0000000027478353,4,0.0,3.779602992720902,0.3717069923877716,0.5641283988952637,0.06416457146406174,0.4,
R2P2_alpha_0.4,dot_product,20260527,1,original,0,0.8618387297192591,0.9000000059604645,0.3499999940395355,0.9703226765149491,4,0.0,3.2165185034275057,0.388305127620697,0.5451282262802124,0.06656669080257416,0.4,
R2P2_alpha_0.4,dot_product,20260527,2,original,0,0.8417442805882991,0.9749999940395355,0.4749999940395355,0.821599217328803,4,0.5,2.687856304645538,0.42980968952178955,0.5023094415664673,0.06788095831871033,0.4,
R2P2_alpha_0.4,dot_product,20260527,5,original,0,0.8417442805882993,0.9749999940395355,0.4749999940395355,0.821599217328803,4,0.975,1.3011890759691596,0.5183176398277283,0.4105892777442932,0.07109317928552628,0.4,
R2P2_alpha_0.4,dot_product,20260527,10,original,0,0.7426912634330713,0.9000000059604645,0.4000000059604645,0.8444015370934485,4,0.85,0.4329026928637177,0.6979015469551086,0.2482026219367981,0.05389581248164177,0.4,
R2P2_alpha_0.4,dot_product,20260527,20,original,0,1.0000000000001803,1.0,0.25,1.0000000027478353,4,1.0,0.019948079553432762,0.9738678336143494,0.01641784980893135,0.009714361280202866,0.4,
R2P2_alpha_0.4,dot_product,20260527,50,original,0,1.0000000000001803,1.0,0.25,1.0000000027478353,4,1.0,0.0042192152759525925,0.9994726181030273,0.00023359402257483453,0.000293818477075547,0.4,
R2P2_alpha_0.4,dot_product,20260527,1600,original,0,1.0000000000001803,1.0,0.25,1.0000000027478353,4,1.0,3.4361451071163174e-05,0.9998223185539246,8.015148341655731e-05,9.755924838827923e-05,0.4,
