layer,condition,R,delta_middle_e,delta_tail_e,delta_middle_q_enrichment,delta_tail_q_enrichment
6,wrong_layer_basis_24,0.08883707845755547,-0.0003643763535827554,-0.005773049046642151,,
7,length_template_bundle_residualized,0.43294535497062286,-0.011033529217045644,0.014069968320104749,,
7,eigen_floor_1e-06,0.04682741670202976,,,-0.012287091723786047,0.01325264942576584
7,eigen_floor_1e-05,0.04682741670202976,,,-0.013366563175773019,0.009065626637890971
7,eigen_floor_1e-04,0.04682741670202976,,,-0.011242651579907446,0.011189538233757202
7,calibration_half0_basis,0.04682741670202976,-0.01042489967376605,0.014839672721113114,,
7,calibration_half1_basis,0.04682741670202976,-0.0022735242926765838,0.00382333765792358,,
7,wrong_layer_basis_25,0.04682741670202976,0.004659617312319263,-0.010633817108686779,,
8,length_template_bundle_residualized,0.42714804963344283,0.003288146939602868,-0.010303161648702654,,
8,eigen_floor_1e-06,-0.0035790492344548804,,,-8.258587917141577e-05,-0.0018539176767457454
8,eigen_floor_1e-05,-0.0035790492344548804,,,0.00027418439947501466,-0.013412201760453603
8,eigen_floor_1e-04,-0.0035790492344548804,,,0.0006713631705643381,-0.013015022989364414
8,calibration_half0_basis,-0.0035790492344548804,-0.006464085358531236,-0.009313954793295234,,
8,calibration_half1_basis,-0.0035790492344548804,0.006412603418287259,-0.01837482964154535,,
8,wrong_layer_basis_26,-0.0035790492344548804,0.004584933560007889,-0.011629907909763914,,
9,length_template_bundle_residualized,0.41460979422613,-0.005539633070149142,-0.005826293368897882,,
9,eigen_floor_1e-06,0.0054395575138087935,,,0.005310740965939625,-0.004540499986704776
9,eigen_floor_1e-05,0.0054395575138087935,,,0.0006160777943936083,-0.006621833020331153
9,eigen_floor_1e-04,0.0054395575138087935,,,-0.002400622896435214,-0.009638533711160161
9,calibration_half0_basis,0.0054395575138087935,0.000927049694330869,-0.011988620544827066,,
9,calibration_half1_basis,0.0054395575138087935,-0.003323001974616998,-0.010711437659553742,,
9,wrong_layer_basis_27,0.0054395575138087935,-0.0043627249903188505,-0.0053045266575228334,,
10,length_template_bundle_residualized,0.404331569386394,0.010406020845519007,-0.045450418141769075,,
10,eigen_floor_1e-06,-0.01129066661766739,,,0.034158557539648776,-0.02877355267247777
10,eigen_floor_1e-05,-0.01129066661766739,,,0.02081689205429082,-0.0418324510136763
10,eigen_floor_1e-04,-0.01129066661766739,,,0.014488951174738795,-0.04816039189322853
10,calibration_half0_basis,-0.01129066661766739,0.005570628673727275,-0.03959349579777391,,
10,calibration_half1_basis,-0.01129066661766739,0.007455872517563882,-0.04856986474978845,,
10,wrong_layer_basis_28,-0.01129066661766739,-0.014302826570053535,0.0001764552234897046,,
11,length_template_bundle_residualized,0.41027291775857955,-0.004454644853807278,-0.02088686100903709,,
11,eigen_floor_1e-06,-0.020625254292711524,,,0.006786224172918762,-0.008988845355956596
11,eigen_floor_1e-05,-0.020625254292711524,,,-0.0028543769283101822,-0.023214663371631108
11,eigen_floor_1e-04,-0.020625254292711524,,,-0.003762043624690164,-0.0241223300680112
11,calibration_half0_basis,-0.020625254292711524,0.0013693525053846017,-0.028365215487409636,,
11,calibration_half1_basis,-0.020625254292711524,-0.0010147411305619183,-0.02486895703937477,,
11,wrong_layer_basis_29,-0.020625254292711524,0.020210000762707032,-0.02027453630673401,,
12,length_template_bundle_residualized,0.41817852138091227,0.02661115412474585,-0.027168843254934905,,
