role,band,band_index,b,q,j,e,q_enrichment,j_enrichment,layer,split,floor_ratio
coarse,F2,2,2.1811783881275915e-05,0.0005700248971681094,0.6149379014968872,1.4307205412112824,0.13489097206007636,1.176407547387484,1,confirmation,1e-06
coarse,F3,3,1.8759139493340626e-05,0.0007928693133733714,0.5353856682777405,1.2304856106524125,0.18762498432765445,1.0242200706638571,1,confirmation,1e-06
coarse,F4,4,1.9996516130049713e-05,0.0012428907796262953,0.5870829820632935,1.3116500023862931,0.29411828546649094,1.12311966681648,1,confirmation,1e-06
coarse,F5,5,2.047679117822554e-05,0.0017596135997735827,0.6053249835968018,1.3431531284302964,0.41639582780116474,1.1580175454985957,1,confirmation,1e-06
coarse,F6,6,1.833679743867833e-05,0.0021551786435783926,0.563905656337738,1.2027825371068581,0.5100025343448639,1.0787802614140314,1,confirmation,1e-06
coarse,F7,7,1.8918093701358885e-05,0.0029540170992886183,0.5629837512969971,1.2409120412351453,0.6990400594513219,1.077016610083934,1,confirmation,1e-06
coarse,F8,8,1.686071846052073e-05,0.003427831270689254,0.5766905546188354,1.105960721615043,0.8111636780399014,1.103238423439584,1,confirmation,1e-06
coarse,F9,9,1.6101763321785256e-05,0.004322339796538082,0.5753950476646423,1.0561778742900778,1.0228406156038925,1.1007600526075116,1,confirmation,1e-06
coarse,F10,10,1.5804755093995482e-05,0.0054572266852987465,0.5378918051719666,1.0366959385290888,1.2914008072090222,1.0290144382739477,1,confirmation,1e-06
coarse,F11,11,1.2670003343373537e-05,0.005650068460240362,0.4956236779689789,0.8310752636853911,1.3370349796897258,0.9481533566354782,1,confirmation,1e-06
coarse,F12,12,1.1168556738994084e-05,0.006430171486696107,0.49136191606521606,0.7325894859924593,1.5216389436014799,0.9400003889023933,1,confirmation,1e-06
coarse,F13,13,1.0003771421907004e-05,0.007579122852056995,0.53243488073349,0.6561866439173388,1.793527359867577,1.0185750636975548,1,confirmation,1e-06
coarse,F14,14,8.18321314000059e-06,0.008224338008728266,0.46609967947006226,0.5367690784135923,1.946211391922434,0.8916724427437881,1,confirmation,1e-06
