seed,pool,cluster,position,count,fraction,cluster_total
20260623,pca_q8,3,19,4469,0.03980121656884836,112283
20260623,pca_q8,3,20,3434,0.030583436495284236,112283
20260623,pca_q8,3,21,4454,0.039667625553289454,112283
20260623,pca_q8,3,22,2405,0.02141909282794368,112283
20260623,pca_q8,3,23,2427,0.021615026317430064,112283
20260623,pca_q8,3,24,3655,0.032551677457852035,112283
20260623,pca_q8,3,25,3678,0.03275651701504235,112283
20260623,pca_q8,3,26,3634,0.03236465003606957,112283
20260623,pca_q8,3,27,3549,0.03160763428123581,112283
20260623,pca_q8,3,28,3600,0.032061843734136064,112283
20260623,pca_q8,3,29,3547,0.03158982214582795,112283
20260623,pca_q8,3,30,3662,0.03261401993177952,112283
20260623,pca_q8,3,31,3672,0.03270308060881879,112283
20260623,pca_q16,0,0,4610,0.035598730492127355,129499
20260623,pca_q16,0,1,4698,0.03627827241909204,129499
20260623,pca_q16,0,2,3120,0.024092850137838902,129499
20260623,pca_q16,0,3,4148,0.03203113537556274,129499
20260623,pca_q16,0,4,3200,0.02471061552598862,129499
20260623,pca_q16,0,5,4076,0.031475146526228,129499
20260623,pca_q16,0,6,3054,0.023583193692615387,129499
20260623,pca_q16,0,7,4111,0.0317454188835435,129499
20260623,pca_q16,0,8,4485,0.03463347207314342,129499
20260623,pca_q16,0,9,4519,0.03489602236310705,129499
20260623,pca_q16,0,10,3093,0.02388435431933837,129499
20260623,pca_q16,0,11,4093,0.03160642167120982,129499
20260623,pca_q16,0,12,3103,0.023961574992857088,129499
20260623,pca_q16,0,13,4040,0.03119715210156063,129499
20260623,pca_q16,0,14,3113,0.024038795666375803,129499
20260623,pca_q16,0,15,4187,0.03233229600228573,129499
20260623,pca_q16,0,16,4608,0.03558328635742361,129499
20260623,pca_q16,0,17,4703,0.0363168827558514,129499
20260623,pca_q16,0,18,3058,0.023614081962022873,129499
20260623,pca_q16,0,19,4131,0.03189986023058093,129499
20260623,pca_q16,0,20,3021,0.02332836547000363,129499
20260623,pca_q16,0,21,4076,0.031475146526228,129499
20260623,pca_q16,0,22,3097,0.023915242588745857,129499
20260623,pca_q16,0,23,4090,0.0315832554691542,129499
20260623,pca_q16,0,24,4591,0.03545201121244179,129499
20260623,pca_q16,0,25,4593,0.035467455347145536,129499
20260623,pca_q16,0,26,4726,0.03649449030494444,129499
20260623,pca_q16,0,27,4544,0.03508907404690384,129499
20260623,pca_q16,0,28,4571,0.03529756986540437,129499
20260623,pca_q16,0,29,4629,0.03574544977181291,129499
20260623,pca_q16,0,30,4718,0.03643271376612947,129499
20260623,pca_q16,0,31,4693,0.03623966208233268,129499
20260623,pca_q16,1,0,2560,0.025807232073550613,99197
20260623,pca_q16,1,1,2517,0.02537375122231519,99197
20260623,pca_q16,1,2,1610,0.016230329546256438,99197
20260623,pca_q16,1,3,3637,0.036664415254493585,99197
20260623,pca_q16,1,4,3688,0.03717854370595885,99197
20260623,pca_q16,1,5,4664,0.04701755093400002,99197
20260623,pca_q16,1,6,4693,0.04730989848483321,99197
20260623,pca_q16,1,7,2624,0.026452412875389377,99197
20260623,pca_q16,1,8,2615,0.0263616843251308,99197
20260623,pca_q16,1,9,2610,0.026311279574987148,99197
20260623,pca_q16,1,10,1723,0.01736947689950301,99197
20260623,pca_q16,1,11,3759,0.03789429115799873,99197
20260623,pca_q16,1,12,3690,0.03719870560601631,99197
