layer,band,x_source_energy_fraction,a_source_energy_fraction,h_energy_fraction,a_norm_share_in_band,x_norm_share_in_band,cross_term_over_h_energy,a_shapley_share_in_h_band,x_shapley_share_in_h_band,a_to_x_norm_ratio,a_adjacent_cosine,a_between_cosine,a_sequence_gap,a_sequence_accuracy,h_adjacent_cosine,h_between_cosine,h_sequence_gap,h_sequence_accuracy
9,1_2,9.559242930189495e-05,0.06547175311776027,0.0001437807770062943,0.10223258849173192,0.8977674115082681,0.25775888491262794,0.20476067191775502,0.7952393181154574,0.33745258568409703,0.12364334613084793,0.01778608374297619,0.10585726238787174,0.291015625,0.24721233546733856,0.017381887882947922,0.22983044758439064,0.291015625
9,2_5,0.00022496848227670905,0.08801258799470957,0.00028117437935925075,0.06107309720490263,0.9389269027950974,0.14591654546959432,0.12511979550822652,0.8748802197815639,0.2550404588151655,0.2693063020706177,-0.007272511720657349,0.276578813791275,0.5390625,0.3157644271850586,-0.013905773870646954,0.32967020105570555,0.44140625
9,5_10,0.00022523849376805406,0.05742809501450741,0.0002452892750242606,0.04066736767730058,0.9593326323226994,0.04064140873447455,0.05933529602124659,0.9406647799275359,0.20589150224252742,0.3552752435207367,0.013476422987878323,0.34179882053285837,0.70703125,0.3017410933971405,0.002211399842053652,0.29952969355508685,0.400390625
9,10_20,0.00020710302314014484,0.09681180096555543,0.00022318306427729847,0.07211584063226723,0.9278841593677328,-0.0023458135916850278,0.0711121086702679,0.9288879539333459,0.27878439143721895,0.4339693784713745,0.015221408568322659,0.41874796990305185,0.84375,0.3015073537826538,-0.006436516996473074,0.3079438707791269,0.283203125
9,20_50,0.00018227269502133506,0.23034205497852697,0.00017644749682114609,0.1736288265533496,0.8263711734466503,-0.25290218161230127,0.0910888222110787,0.9089110478436425,0.4583775462992237,0.43282461166381836,0.020346757024526596,0.41247785463929176,0.947265625,0.17217059433460236,-0.0008599154534749687,0.17303050978807732,0.111328125
9,50_100,8.122502931531897e-05,0.3494127379705449,2.851096297629952e-05,0.416986792086319,0.5830132079136809,-3.897627740399786,0.09343216818477865,0.9065677312902094,0.8457109480184009,0.3838638365268707,0.019241267815232277,0.36462256871163845,0.91015625,-0.11621633917093277,-0.0004803769406862557,-0.11573596223024651,0.005859375
10,0_1,0.9987440578335979,0.07719823182315501,0.99865589806364,1.3235017928793152e-05,0.9999867649820712,-0.0013091277467586582,-0.0006413115319506929,1.0006410977538922,0.0036380204915325972,0.657294750213623,0.19362416863441467,0.4636705815792084,0.55078125,0.6132014989852905,0.3209681808948517,0.29223331809043884,0.50390625
10,1_2,0.0001481068464972943,0.023343414861456524,0.00017121236977617573,0.026278534071956107,0.9737214659280439,0.11053418397548574,0.07864094907972727,0.9213590257949729,0.1642794330089022,0.7807947993278503,0.09617813676595688,0.6846166625618935,0.587890625,0.3430245816707611,0.02003752812743187,0.32298705354332924,0.40234375
10,2_5,0.0002995060151807704,0.04804456812965756,0.0003330320082715881,0.02673301089292434,0.9732669891070757,0.07485116558540779,0.062157594991690435,0.9378423425763217,0.16573259900389495,0.7161496877670288,0.03340212628245354,0.6827475614845753,0.728515625,0.3396276533603668,-0.014479340054094791,0.3541069934144616,0.4453125
10,5_10,0.00026133657215348326,0.06562694906588368,0.000293622819740124,0.041226383255601795,0.9587736167443982,0.07056656895145802,0.07360046492535284,0.9263995741430197,0.2073621947198549,0.6843146085739136,0.05577844753861427,0.6285361610352993,0.814453125,0.352836549282074,1.9443486962700263e-05,0.3528171057951113,0.349609375
