layer,band,rank,split_half_overlap,random_expectation,normalized_excess,stability_pass,reconstruction_relative_error,trace_relative_error,orthogonality_relative_error
19,F13,256,0.5519683874394031,0.0625,0.5220996132686967,True,4.424278014664805e-15,1.9220633803468523e-16,5.876353476753859e-15
19,F14,256,0.6780718509495642,0.0625,0.6566099743462018,True,4.424278014664805e-15,1.9220633803468523e-16,5.876353476753859e-15
19,F15,256,0.8240032869010256,0.0625,0.8122701726944274,True,4.424278014664805e-15,1.9220633803468523e-16,5.876353476753859e-15
19,F16,256,0.9509378741080949,0.0625,0.9476670657153012,True,4.424278014664805e-15,1.9220633803468523e-16,5.876353476753859e-15
19,H,256,0.6399490100489748,0.0625,0.6159456107189064,True,4.424278014664805e-15,1.9220633803468523e-16,5.876353476753859e-15
19,M,1792,0.8464399583109946,0.4375,0.7270043703306571,True,4.424278014664805e-15,1.9220633803468523e-16,5.876353476753859e-15
19,T,2048,0.9075509568688866,0.5,0.8151019137377733,True,4.424278014664805e-15,1.9220633803468523e-16,5.876353476753859e-15
20,F1,256,0.7147081419986911,0.0625,0.6956886847986039,True,3.968370808151369e-15,0.0,5.795370124175661e-15
20,F2,256,0.45741734026968284,0.0625,0.42124516295432834,True,3.968370808151369e-15,0.0,5.795370124175661e-15
20,F3,256,0.35699393779429095,0.0625,0.314126866980577,True,3.968370808151369e-15,0.0,5.795370124175661e-15
20,F4,256,0.30984063782735094,0.0625,0.2638300136825077,True,3.968370808151369e-15,0.0,5.795370124175661e-15
20,F5,256,0.2876163153765542,0.0625,0.24012406973499115,False,3.968370808151369e-15,0.0,5.795370124175661e-15
20,F6,256,0.28182697997717315,0.0625,0.23394877864231803,False,3.968370808151369e-15,0.0,5.795370124175661e-15
20,F7,256,0.2863044681548329,0.0625,0.23872476603182177,False,3.968370808151369e-15,0.0,5.795370124175661e-15
20,F8,256,0.3014236042613211,0.0625,0.25485184454540916,True,3.968370808151369e-15,0.0,5.795370124175661e-15
20,F9,256,0.3243559067342931,0.0625,0.279312967183246,True,3.968370808151369e-15,0.0,5.795370124175661e-15
20,F10,256,0.3597145552997827,0.0625,0.31702885898643485,True,3.968370808151369e-15,0.0,5.795370124175661e-15
20,F11,256,0.4088934699274111,0.0625,0.36948636792257183,True,3.968370808151369e-15,0.0,5.795370124175661e-15
20,F12,256,0.474296015075926,0.0625,0.4392490827476544,True,3.968370808151369e-15,0.0,5.795370124175661e-15
20,F13,256,0.5610327904567829,0.0625,0.5317683098205684,True,3.968370808151369e-15,0.0,5.795370124175661e-15
20,F14,256,0.674156190021699,0.0625,0.6524332693564789,True,3.968370808151369e-15,0.0,5.795370124175661e-15
20,F15,256,0.8136010150790671,0.0625,0.8011744160843383,True,3.968370808151369e-15,0.0,5.795370124175661e-15
20,F16,256,0.9473359750185772,0.0625,0.9438250400198157,True,3.968370808151369e-15,0.0,5.795370124175661e-15
20,H,256,0.7147081419986911,0.0625,0.6956886847986039,True,3.968370808151369e-15,0.0,5.795370124175661e-15
20,M,1792,0.863296274536098,0.4375,0.756971154730841,True,3.968370808151369e-15,0.0,5.795370124175661e-15
20,T,2048,0.9139239930943883,0.5,0.8278479861887766,True,3.968370808151369e-15,0.0,5.795370124175661e-15
21,F1,256,0.7141740732644031,0.0625,0.6951190114820299,True,4.465675090044719e-15,1.6848979196744307e-16,5.888282756916512e-15
21,F2,256,0.4652517453366579,0.0625,0.42960186169243514,True,4.465675090044719e-15,1.6848979196744307e-16,5.888282756916512e-15
21,F3,256,0.36942842739165715,0.0625,0.32739032255110095,True,4.465675090044719e-15,1.6848979196744307e-16,5.888282756916512e-15
21,F4,256,0.3261065055286495,0.0625,0.28118027256389283,True,4.465675090044719e-15,1.6848979196744307e-16,5.888282756916512e-15
21,F5,256,0.3050324130850802,0.0625,0.25870124062408556,True,4.465675090044719e-15,1.6848979196744307e-16,5.888282756916512e-15
21,F6,256,0.29717440006086443,0.0625,0.25031936006492206,True,4.465675090044719e-15,1.6848979196744307e-16,5.888282756916512e-15
21,F7,256,0.3000317177305073,0.0625,0.2533671655792078,True,4.465675090044719e-15,1.6848979196744307e-16,5.888282756916512e-15
21,F8,256,0.3094528237918827,0.0625,0.26341634537800823,True,4.465675090044719e-15,1.6848979196744307e-16,5.888282756916512e-15
21,F9,256,0.32926917783671017,0.0625,0.28455378969249084,True,4.465675090044719e-15,1.6848979196744307e-16,5.888282756916512e-15
21,F10,256,0.3640675132674066,0.0625,0.3216720141519004,True,4.465675090044719e-15,1.6848979196744307e-16,5.888282756916512e-15
21,F11,256,0.41221172845654025,0.0625,0.3730258436869763,True,4.465675090044719e-15,1.6848979196744307e-16,5.888282756916512e-15
21,F12,256,0.47910863039263907,0.0625,0.4443825390854817,True,4.465675090044719e-15,1.6848979196744307e-16,5.888282756916512e-15
21,F13,256,0.5697633417283036,0.0625,0.5410808978435238,True,4.465675090044719e-15,1.6848979196744307e-16,5.888282756916512e-15
21,F14,256,0.6872045614390425,0.0625,0.6663515322016453,True,4.465675090044719e-15,1.6848979196744307e-16,5.888282756916512e-15
21,F15,256,0.8213639862537726,0.0625,0.8094549186706907,True,4.465675090044719e-15,1.6848979196744307e-16,5.888282756916512e-15
21,F16,256,0.9465932608315134,0.0625,0.9430328115536143,True,4.465675090044719e-15,1.6848979196744307e-16,5.888282756916512e-15
