layer,omitted_parent,D_coarse,D_fine,R
34,3,0.21963120996952057,0.6152988076210022,1.0301581944239442
34,4,0.2020541876554489,0.6059922575950623,1.098331292594809
34,5,0.20000937581062317,0.6323081254959106,1.1510125711769463
34,6,0.20941175520420074,0.6248781085014343,1.0932541699019152
34,7,0.19032259285449982,0.6134158968925476,1.1703226778144977
35,0,0.4548487663269043,0.9368478059768677,0.7225558601259116
35,1,0.46610110998153687,0.9532334208488464,0.7154572215486795
35,2,0.4797517657279968,0.9663110971450806,0.7002170137026719
35,3,0.46334972977638245,0.9746680855751038,0.7436148631518421
35,4,0.4708215594291687,0.9859519004821777,0.739128403422597
35,5,0.4253234565258026,0.9713094234466553,0.8257951286194604
35,6,0.44961461424827576,1.0152353048324585,0.8144848889773864
35,7,0.4461631774902344,0.9865354895591736,0.7935145461217087
36,0,0.7797878384590149,1.6888800859451294,0.7727990365064645
36,1,0.7565643191337585,1.713806390762329,0.8176845836272779
36,2,0.7701972723007202,1.759900689125061,0.8263659799788448
36,3,0.7468022704124451,1.7423021793365479,0.8471621574159298
36,4,0.7670648694038391,1.8075621128082275,0.8571629440902487
36,5,0.7005147933959961,1.7603981494903564,0.9214797998569592
36,6,0.7432872653007507,1.8172657489776611,0.8940057157726211
36,7,0.7091881632804871,1.778017520904541,0.9191333864833874
