model,step,layer,control,contrast,actual_router_input_B,control_B,actual_minus_control_B
batchgrad,30000,6,next_layer_basis,H:T,3.343768868780873,0.5632748813263831,2.7804939874544896
batchgrad,30000,7,next_layer_basis,H:M,1.7859796047036307,0.1600843139449538,1.625895290758677
batchgrad,30000,7,next_layer_basis,H:T,3.2295200441871628,0.15258939943771585,3.076930644749447
batchgrad,30000,8,next_layer_basis,H:M,1.4385457802488566,0.3225637042039584,1.1159820760448982
batchgrad,30000,8,next_layer_basis,H:T,2.6935188002218187,0.5046632823142037,2.188855517907615
batchgrad,30000,9,next_layer_basis,H:M,1.5872018714742964,0.06366724173478133,1.523534629739515
batchgrad,30000,9,next_layer_basis,H:T,3.19232796462018,0.0233121341513635,3.1690158304688163
batchgrad,30000,10,next_layer_basis,H:M,0.8907522087280165,0.2629287358190732,0.6278234729089434
batchgrad,30000,10,next_layer_basis,H:T,1.977976961315191,0.19630052651336463,1.7816764348018264
batchgrad,30000,11,next_layer_basis,H:M,0.7466410162749867,-0.02060844680814646,0.7672494630831331
batchgrad,30000,11,next_layer_basis,H:T,2.171601542182912,-0.015262249014699287,2.186863791197611
batchgrad,30000,12,next_layer_basis,H:M,0.6719432460658371,0.03755642445703749,0.6343868216087997
batchgrad,30000,12,next_layer_basis,H:T,2.002958328419324,0.04713398392400117,1.955824344495323
lb,10000,1,next_layer_basis,H:M,2.037452560674018,0.18459265771524702,1.852859902958771
lb,10000,1,next_layer_basis,H:T,2.8661504598408634,0.1908723586713049,2.6752781011695586
lb,10000,2,next_layer_basis,H:M,2.44281936610188,0.014284331250900886,2.428535034850979
lb,10000,2,next_layer_basis,H:T,3.356541979277236,0.2626748121602331,3.0938671671170033
lb,10000,3,next_layer_basis,H:M,2.642927246421096,0.1321956158088344,2.510731630612262
lb,10000,3,next_layer_basis,H:T,3.811237007865115,0.21716047854648918,3.5940765293186256
lb,10000,4,next_layer_basis,H:M,2.818312641305876,0.09168203084740864,2.7266306104584674
lb,10000,4,next_layer_basis,H:T,4.15098439436752,0.23437565797345025,3.91660873639407
lb,10000,5,next_layer_basis,H:M,2.4936111140768653,0.3105995085319734,2.183011605544892
lb,10000,5,next_layer_basis,H:T,4.0624539922091385,0.4609404642536046,3.601513527955534
lb,10000,6,next_layer_basis,H:M,2.576623298682751,0.19248648115367833,2.3841368175290727
lb,10000,6,next_layer_basis,H:T,3.882492617348776,0.4647164959475956,3.4177761214011806
lb,10000,7,next_layer_basis,H:M,2.0064443760355712,0.0509140156845622,1.955530360351009
lb,10000,7,next_layer_basis,H:T,3.644180540486154,-0.004326769948167121,3.6485073104343213
lb,10000,8,next_layer_basis,H:M,1.927243450546885,0.24774072116637624,1.6795027293805087
lb,10000,8,next_layer_basis,H:T,3.4828562186538026,0.25886714869614363,3.2239890699576588
lb,10000,9,next_layer_basis,H:M,2.283365675275184,0.0681657961422058,2.215199879132978
lb,10000,9,next_layer_basis,H:T,3.5835327181765644,0.17328234419896502,3.4102503739775996
lb,10000,10,next_layer_basis,H:M,2.10119698869207,-0.10467327394712736,2.205870262639197
lb,10000,10,next_layer_basis,H:T,3.5417534440617997,-0.047128935385180565,3.5888823794469804
lb,10000,11,next_layer_basis,H:M,1.9933401912779496,-0.08763227623024045,2.08097246750819
lb,10000,11,next_layer_basis,H:T,3.422695972851562,-0.1216203984146276,3.5443163712661896
lb,10000,12,next_layer_basis,H:M,2.4043852802205374,-0.043576956693947434,2.447962236914485
lb,10000,12,next_layer_basis,H:T,3.7539224435615615,0.041775266736013034,3.7121471768255483
lb,20000,1,next_layer_basis,H:M,1.7049409085301732,0.037734066268736065,1.6672068422614372
lb,20000,1,next_layer_basis,H:T,2.735852037623935,0.013618004619336092,2.722234033004599
lb,20000,2,next_layer_basis,H:M,2.3842262700122765,0.03981432398169854,2.344411946030578
lb,20000,2,next_layer_basis,H:T,3.5802225505439003,0.3715427891026238,3.2086797614412763
